epoch,loss,lr,mean_absolute_error,mean_absolute_percentage_error,r_squared,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_r_squared
0,2.625213146209717,1e-04,2.625213146209717,41.85865020751953,-0.07760024070739746,2.4245214462280273,2.4245214462280273,36.83952331542969,0.02412360906600952
1,2.4860992431640625,1e-04,2.4860992431640625,40.202613830566406,0.017493069171905518,2.3722784519195557,2.3722784519195557,35.3211555480957,0.05585336685180664
2,2.4409751892089844,1e-04,2.4409751892089844,39.23844528198242,0.046125710010528564,2.354583740234375,2.354583740234375,34.55791091918945,0.06536179780960083
3,2.4106369018554688,1e-04,2.4106369018554688,38.5595817565918,0.06467330455780029,2.337944984436035,2.337944984436035,36.55265426635742,0.10483509302139282
4,2.4009711742401123,1e-04,2.4009711742401123,38.47246170043945,0.07247167825698853,2.3319904804229736,2.3319904804229736,35.706233978271484,0.09950631856918335
5,2.3858022689819336,1e-04,2.3858022689819336,37.952144622802734,0.08012694120407104,2.3257064819335938,2.3257064819335938,34.6402587890625,0.0940777063369751
6,2.3733818531036377,1e-04,2.3733818531036377,37.94752883911133,0.08946675062179565,2.31984806060791,2.31984806060791,35.63352966308594,0.11000365018844604
7,2.3608438968658447,1e-04,2.3608438968658447,37.61682891845703,0.09758484363555908,2.316819429397583,2.316819429397583,36.22654724121094,0.12074947357177734
8,2.3622422218322754,1e-04,2.3622422218322754,37.782894134521484,0.09911215305328369,2.3204493522644043,2.3204493522644043,36.77311325073242,0.12363255023956299
9,2.352940559387207,1e-04,2.352940559387207,37.6644287109375,0.10450601577758789,2.3175954818725586,2.3175954818725586,37.03276824951172,0.13054496049880981
10,2.3580687046051025,1e-04,2.3580687046051025,37.61431121826172,0.10096162557601929,2.312791347503662,2.312791347503662,36.34220886230469,0.12529945373535156
11,2.3472163677215576,1e-04,2.3472163677215576,37.53440475463867,0.110545814037323,2.309757709503174,2.309757709503174,36.01500701904297,0.12388163805007935
12,2.3455238342285156,1e-04,2.3455238342285156,37.38026428222656,0.10882264375686646,2.3112926483154297,2.3112926483154297,36.086246490478516,0.1221265196800232
13,2.336742877960205,1e-04,2.336742877960205,37.374576568603516,0.11327773332595825,2.307980537414551,2.307980537414551,36.25790023803711,0.1288144588470459
14,2.3432376384735107,1e-04,2.3432376384735107,37.48755645751953,0.11366784572601318,2.308525323867798,2.308525323867798,36.06483840942383,0.125515878200531
15,2.33889102935791,1e-04,2.33889102935791,37.4930419921875,0.11709451675415039,2.307166814804077,2.307166814804077,35.89183807373047,0.12436437606811523
16,2.33817458152771,1e-04,2.33817458152771,37.426448822021484,0.1176195740699768,2.307814359664917,2.307814359664917,36.226009368896484,0.12726646661758423
