epoch,loss,lr,mean_absolute_error,mean_absolute_percentage_error,r_squared
0,3.6101176738739014,1e-04,3.6101176738739014,53.26552200317383,-0.8954942226409912
1,3.2679851055145264,1e-04,3.2679851055145264,47.62772750854492,-0.6068929433822632
2,2.8470983505249023,1e-04,2.8470983505249023,41.04241180419922,-0.23580479621887207
3,3.1031994819641113,1e-04,3.1031994819641113,51.684730529785156,-0.3426201343536377
4,2.794687271118164,1e-04,2.794687271118164,49.270904541015625,0.008508503437042236
5,3.4628188610076904,1e-04,3.4628188610076904,61.01832962036133,-0.47178804874420166
6,3.3591175079345703,1e-04,3.3591175079345703,63.1151123046875,-0.4142186641693115
7,2.988754987716675,1e-04,2.988754987716675,50.049556732177734,-0.17360949516296387
