epoch,loss,mean_absolute_error,mean_absolute_percentage_error,r_squared,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_r_squared
0,2.211665153503418,2.211665153503418,378.159423828125,-13.145952224731445,1.4056453704833984,1.4056453704833984,152.09207153320312,-2.6203360557556152
1,1.6499451398849487,1.6499451398849487,278.79571533203125,-7.1779022216796875,0.9169670939445496,0.9169670939445496,87.77012634277344,-1.1224756240844727
2,0.9716946482658386,0.9716946482658386,150.43553161621094,-2.7895171642303467,0.7527328729629517,0.7527328729629517,75.59683227539062,-0.26074934005737305
3,0.6179349422454834,0.6179349422454834,99.0251693725586,-0.22808384895324707,1.1198501586914062,1.1198501586914062,116.04956817626953,-1.5685553550720215
4,0.3119930326938629,0.3119930326938629,51.77878189086914,0.6193026900291443,1.4925289154052734,1.4925289154052734,163.078125,-2.9838123321533203
5,0.4204052984714508,0.4204052984714508,75.61042022705078,0.25445568561553955,1.362962007522583,1.362962007522583,145.60885620117188,-2.515393018722534
6,0.583576500415802,0.583576500415802,115.72757720947266,-0.16027486324310303,0.8823325634002686,0.8823325634002686,86.67591094970703,-0.8362854719161987
7,0.4733007848262787,0.4733007848262787,82.24305725097656,0.3883124589920044,0.9153403639793396,0.9153403639793396,101.48701477050781,-0.4462686777114868
8,0.2170841246843338,0.2170841246843338,37.21537399291992,0.6797529458999634,0.9916731715202332,0.9916731715202332,124.86176300048828,-0.3819841146469116
9,0.5422056317329407,0.5422056317329407,81.13285064697266,-0.13592886924743652,0.9781977534294128,0.9781977534294128,134.73379516601562,-0.4185401201248169
10,0.5030117034912109,0.5030117034912109,82.5011215209961,0.18227016925811768,0.951759934425354,0.951759934425354,147.7126922607422,-0.9267609119415283
11,0.26900729537010193,0.26900729537010193,47.8326416015625,0.6544437408447266,1.0678019523620605,1.0678019523620605,171.4766387939453,-1.7976837158203125
12,0.6145547032356262,0.6145547032356262,103.76763916015625,-0.20389795303344727,1.263606071472168,1.263606071472168,196.0397491455078,-2.3912718296051025
13,0.453824520111084,0.453824520111084,77.11845397949219,0.32517755031585693,1.3880730867385864,1.3880730867385864,212.3871612548828,-2.875560760498047
14,0.1947387009859085,0.1947387009859085,41.31627655029297,0.8563320636749268,1.5415127277374268,1.5415127277374268,232.84091186523438,-3.5539231300354004
15,0.23822277784347534,0.23822277784347534,41.44679641723633,0.698310136795044,1.7090964317321777,1.7090964317321777,254.15782165527344,-4.297492980957031
16,0.564822256565094,0.564822256565094,106.59766387939453,0.13837110996246338,1.7621326446533203,1.7621326446533203,260.23577880859375,-4.502291202545166
17,0.5346153974533081,0.5346153974533081,103.98673248291016,0.15533608198165894,1.7628611326217651,1.7628611326217651,259.492919921875,-4.448480129241943
18,0.23078888654708862,0.23078888654708862,48.64986801147461,0.7702723741531372,1.5410972833633423,1.5410972833633423,230.63986206054688,-3.403275966644287
19,0.26590797305107117,0.26590797305107117,41.577186584472656,0.7483188509941101,1.5324714183807373,1.5324714183807373,229.02003479003906,-3.33229398727417
