epoch,loss,lr,mean_absolute_error,mean_absolute_percentage_error,r_squared,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_r_squared
0,2.3736932277679443,0.001,2.3736932277679443,39.87362289428711,0.14729511737823486,2.2630205154418945,2.2630205154418945,39.753849029541016,0.14830166101455688
1,2.2682385444641113,0.001,2.2682385444641113,36.681068420410156,0.18980735540390015,2.233980417251587,2.233980417251587,40.712520599365234,0.1969051957130432
2,2.213418960571289,0.001,2.213418960571289,36.283973693847656,0.23812371492385864,2.226341962814331,2.226341962814331,46.99055099487305,0.32682228088378906
3,2.146775484085083,0.001,2.146775484085083,35.72114562988281,0.29569393396377563,2.1241276264190674,2.1241276264190674,31.75272560119629,0.19604235887527466
4,2.0596835613250732,0.001,2.0596835613250732,35.26755142211914,0.38056063652038574,2.6020967960357666,2.6020967960357666,38.95323181152344,0.024031996726989746
5,1.9506340026855469,0.001,1.9506340026855469,34.549503326416016,0.46739768981933594,1.8878365755081177,1.8878365755081177,30.699750900268555,0.4562137722969055
6,1.838545799255371,0.001,1.838545799255371,33.744266510009766,0.5425695180892944,2.286141872406006,2.286141872406006,54.4080696105957,0.3986467719078064
7,1.7502511739730835,0.001,1.7502511739730835,32.899375915527344,0.5945175886154175,1.68894624710083,1.68894624710083,33.36750411987305,0.604169487953186
8,1.6891275644302368,0.001,1.6891275644302368,32.05894088745117,0.6259503364562988,1.5661423206329346,1.5661423206329346,31.808435440063477,0.6623802781105042
9,1.6290040016174316,0.001,1.6290040016174316,30.993667602539062,0.6487604379653931,1.5400718450546265,1.5400718450546265,30.41895294189453,0.6760481595993042
10,1.5920705795288086,0.001,1.5920705795288086,30.46217918395996,0.665518045425415,1.523884892463684,1.523884892463684,29.031044006347656,0.6708438992500305
11,1.568426251411438,0.001,1.568426251411438,30.0283145904541,0.6781233549118042,1.5181593894958496,1.5181593894958496,31.139619827270508,0.6926068067550659
12,1.5221023559570312,0.001,1.5221023559570312,29.535425186157227,0.6932163834571838,1.5650815963745117,1.5650815963745117,30.8914737701416,0.6492089033126831
13,1.4920541048049927,0.001,1.4920541048049927,29.024024963378906,0.7093912959098816,1.4867329597473145,1.4867329597473145,31.029844284057617,0.7017935514450073
14,1.4651639461517334,0.001,1.4651639461517334,28.573217391967773,0.7239910960197449,1.5089285373687744,1.5089285373687744,32.55046463012695,0.7073910236358643
15,1.437525749206543,0.001,1.437525749206543,28.04969596862793,0.7307624816894531,1.4319159984588623,1.4319159984588623,30.250455856323242,0.7362388372421265
16,1.4194567203521729,0.001,1.4194567203521729,27.87815284729004,0.739899218082428,1.5071312189102173,1.5071312189102173,30.365110397338867,0.6857885718345642
17,1.3864256143569946,0.001,1.3864256143569946,27.26961898803711,0.7537984251976013,1.5387660264968872,1.5387660264968872,31.697404861450195,0.6700562834739685
18,1.3836795091629028,0.001,1.3836795091629028,27.402442932128906,0.7566898465156555,1.4797371625900269,1.4797371625900269,32.639015197753906,0.7172012329101562
19,1.3566529750823975,0.001,1.3566529750823975,26.876794815063477,0.7644379734992981,1.4374120235443115,1.4374120235443115,27.809038162231445,0.7076586484909058
20,1.3299893140792847,0.001,1.3299893140792847,26.549652099609375,0.7768391370773315,1.3566950559616089,1.3566950559616089,27.301538467407227,0.7338712215423584
21,1.3302667140960693,0.001,1.3302667140960693,26.45212173461914,0.7741230726242065,1.54804527759552,1.54804527759552,32.41776657104492,0.6664028167724609
22,1.3046952486038208,0.001,1.3046952486038208,26.196247100830078,0.7845293879508972,1.8018908500671387,1.8018908500671387,47.5836296081543,0.6632338762283325
23,1.2802542448043823,0.001,1.2802542448043823,25.678401947021484,0.7934654951095581,1.4230830669403076,1.4230830669403076,27.357433319091797,0.7056625485420227
24,1.2718398571014404,0.001,1.2718398571014404,25.55939483642578,0.7969579100608826,1.3710360527038574,1.3710360527038574,25.862865447998047,0.7277013063430786
25,1.2491600513458252,0.001,1.2491600513458252,25.213895797729492,0.8069146275520325,1.37509286403656,1.37509286403656,28.254215240478516,0.7425776124000549
26,1.2236886024475098,0.001,1.2236886024475098,24.856746673583984,0.8127342462539673,1.6119179725646973,1.6119179725646973,37.504356384277344,0.6781423091888428
27,1.216445803642273,0.001,1.216445803642273,24.658218383789062,0.8173073530197144,1.3610196113586426,1.3610196113586426,26.141231536865234,0.7419155240058899
28,1.2002885341644287,0.001,1.2002885341644287,24.615293502807617,0.824207603931427,1.4057977199554443,1.4057977199554443,28.05073356628418,0.7314940690994263
29,1.1851983070373535,0.001,1.1851983070373535,24.187278747558594,0.8260308504104614,1.4194563627243042,1.4194563627243042,30.89612579345703,0.7398668527603149
30,1.1659184694290161,0.001,1.1659184694290161,23.85082244873047,0.834206223487854,1.41037917137146,1.41037917137146,25.066551208496094,0.721025824546814
31,1.150661826133728,0.001,1.150661826133728,23.787960052490234,0.839685320854187,1.4002593755722046,1.4002593755722046,26.8170223236084,0.74000084400177
32,1.1451480388641357,0.001,1.1451480388641357,23.658525466918945,0.8393300175666809,1.3674994707107544,1.3674994707107544,26.34193992614746,0.7457927465438843
33,1.119300127029419,0.001,1.119300127029419,23.218124389648438,0.8488265872001648,1.394020915031433,1.394020915031433,26.103239059448242,0.7430706024169922
34,1.1165579557418823,0.001,1.1165579557418823,23.048398971557617,0.8486571311950684,1.354095458984375,1.354095458984375,25.507902145385742,0.7196540832519531
35,1.0935969352722168,0.001,1.0935969352722168,22.80181884765625,0.8559120297431946,1.3522217273712158,1.3522217273712158,27.299150466918945,0.7600761651992798
36,1.0820170640945435,0.001,1.0820170640945435,22.615005493164062,0.8617950677871704,1.387892246246338,1.387892246246338,24.832006454467773,0.729803204536438
