epoch,loss,lr,mean_absolute_error,mean_absolute_percentage_error,r_squared,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_r_squared
0,2.3699512481689453,0.001,2.3699512481689453,39.97831726074219,0.1407836675643921,2.5536956787109375,2.5536956787109375,60.50660705566406,0.2326546311378479
1,2.2741167545318604,0.001,2.2741167545318604,37.34172821044922,0.18901103734970093,2.1694395542144775,2.1694395542144775,35.14944839477539,0.2075393795967102
2,2.224043130874634,0.001,2.224043130874634,36.449825286865234,0.22367388010025024,2.118401527404785,2.118401527404785,32.65297317504883,0.23189562559127808
3,2.1471450328826904,0.001,2.1471450328826904,35.571834564208984,0.2871496081352234,2.0094802379608154,2.0094802379608154,38.87518310546875,0.4243924617767334
4,2.055562734603882,0.001,2.055562734603882,35.204959869384766,0.3727349638938904,1.854919195175171,1.854919195175171,30.74651527404785,0.4705224633216858
5,1.9554752111434937,0.001,1.9554752111434937,34.93533706665039,0.45703041553497314,2.6883037090301514,2.6883037090301514,83.8822250366211,-0.5381321907043457
6,1.872804880142212,0.001,1.872804880142212,34.16000747680664,0.5132958889007568,1.9353947639465332,1.9353947639465332,44.825355529785156,0.5687167644500732
7,1.7686079740524292,0.001,1.7686079740524292,33.23372268676758,0.5810768604278564,1.829612374305725,1.829612374305725,42.52305603027344,0.5810952186584473
8,1.6846444606781006,0.001,1.6846444606781006,32.16853713989258,0.6293591260910034,1.8354846239089966,1.8354846239089966,43.60136032104492,0.5992646813392639
9,1.6251220703125,0.001,1.6251220703125,31.25334358215332,0.6552422046661377,1.7553913593292236,1.7553913593292236,40.12750244140625,0.6106692552566528
10,1.5860074758529663,0.001,1.5860074758529663,30.527286529541016,0.6691710948944092,5.390626907348633,5.390626907348633,189.322021484375,-0.4563511610031128
11,1.544882893562317,0.001,1.544882893562317,29.843095779418945,0.6888490319252014,1.9599411487579346,1.9599411487579346,45.97493362426758,0.5292533040046692
12,1.5139367580413818,0.001,1.5139367580413818,29.496986389160156,0.6996073722839355,1.599544644355774,1.599544644355774,33.508731842041016,0.6246128678321838
13,1.4904426336288452,0.001,1.4904426336288452,28.912900924682617,0.7113499045372009,1.5342750549316406,1.5342750549316406,31.18769073486328,0.6644035577774048
14,1.4602649211883545,0.001,1.4602649211883545,28.554994583129883,0.7222484350204468,1.7890340089797974,1.7890340089797974,38.32094955444336,0.5462873578071594
15,1.42965567111969,0.001,1.42965567111969,27.92255973815918,0.7355107069015503,1.5352405309677124,1.5352405309677124,33.19089889526367,0.6682995557785034
16,1.400254726409912,0.001,1.400254726409912,27.56499481201172,0.7495501041412354,1.788529634475708,1.788529634475708,44.59931182861328,0.651375949382782
17,1.3835771083831787,0.001,1.3835771083831787,27.257537841796875,0.7557865977287292,1.7511825561523438,1.7511825561523438,39.749019622802734,0.5857016444206238
18,1.3600834608078003,0.001,1.3600834608078003,26.9312744140625,0.7654776573181152,2.288548469543457,2.288548469543457,56.156009674072266,0.42387694120407104
19,1.338276982307434,0.001,1.338276982307434,26.686033248901367,0.7751249074935913,1.4719297885894775,1.4719297885894775,30.6854190826416,0.6744387149810791
20,1.3252893686294556,0.001,1.3252893686294556,26.49853515625,0.7793278098106384,1.5275471210479736,1.5275471210479736,33.95957946777344,0.6939988136291504
21,1.3021048307418823,0.001,1.3021048307418823,26.132600784301758,0.7877623438835144,1.7784560918807983,1.7784560918807983,38.36013412475586,0.5777414441108704
22,1.2783716917037964,0.001,1.2783716917037964,25.838918685913086,0.7989558577537537,1.5563948154449463,1.5563948154449463,35.74215316772461,0.680489182472229
23,1.262093186378479,0.001,1.262093186378479,25.477956771850586,0.8021800518035889,1.5800336599349976,1.5800336599349976,35.915428161621094,0.6656481027603149
